,Gene,Spearman_r,P_value,FDR
10225,LOC101929181,-0.6971,0.002691,0.4997345294117647
5041,lnc-CENPJ-2,0.6971,0.002691,0.4997345294117647
27182,PDIA6,0.6971,0.002691,0.4997345294117647
1825,RGPD4-AS1,-0.6971,0.002691,0.4997345294117647
8825,lnc-ASZ1-1,-0.6941,0.002854,0.5031008020304568
29959,SMARCAL1,0.6941,0.002854,0.5031008020304568
18639,LPAR5,0.6941,0.002854,0.5031008020304568
10599,lnc-HLA-DQA1-5,0.6941,0.002854,0.5031008020304568
236,LINC01539,-0.6941,0.002854,0.5031008020304568
16505,PREP,0.6941,0.002854,0.5031008020304568
18594,GANAB,0.6941,0.002854,0.5031008020304568
32717,SIL1,0.6941,0.002854,0.5031008020304568
30909,P3H4,0.6941,0.002854,0.5031008020304568
19664,GPR171,0.6941,0.002854,0.5031008020304568
23874,ODF2,0.6912,0.003025,0.5149469362745097
24534,ZMYND11,0.6912,0.003025,0.5149469362745097
21225,FCRLB,0.6912,0.003025,0.5149469362745097
494,SMIM2-AS1,-0.6912,0.003025,0.5149469362745097
28520,GPR68,0.6912,0.003025,0.5149469362745097
29014,RACGAP1,0.6912,0.003025,0.5149469362745097
7194,LOC102724420,0.6912,0.003025,0.5149469362745097
24912,VCP,0.6887,0.003172,0.5298347999999999
24247,EIF1B,-0.6882,0.003204,0.5298347999999999
14914,VKORC1,0.6882,0.003204,0.5298347999999999
23362,FYN,0.6882,0.003204,0.5298347999999999
29877,KDELC2,0.6882,0.003204,0.5298347999999999
16434,APOBEC3D,0.6882,0.003204,0.5298347999999999
33706,CAPN5,0.6853,0.003392,0.5403393761467891
10199,LINC01495,-0.6853,0.003392,0.5403393761467891
22988,BOP1,0.6853,0.003392,0.5403393761467891
18676,COL4A2,-0.6853,0.003392,0.5403393761467891
21327,CNTNAP4,0.6853,0.003392,0.5403393761467891
5935,LOC100996324,0.6853,0.003392,0.5403393761467891
25136,NEDD8,0.6853,0.003392,0.5403393761467891
18889,PSMD1,0.6853,0.003392,0.5403393761467891
978,SNORA16B,-0.6824,0.003588,0.5417412
607,ZFYVE28,0.6824,0.003588,0.5417412
22343,HSCB,0.6824,0.003588,0.5417412
32858,CHEK1,0.6824,0.003588,0.5417412
34618,SPATS2,0.6824,0.003588,0.5417412
12912,lnc-STRA8-1,-0.6824,0.003588,0.5417412
6665,A2MP1,0.6824,0.003588,0.5417412
22532,SHISA3,0.6824,0.003588,0.5417412
32477,FASN,0.6824,0.003588,0.5417412
15274,S1PR5,0.6824,0.003588,0.5417412
31348,LOC283440,0.6824,0.003588,0.5417412
20301,ZBTB11-AS1,0.6824,0.003588,0.5417412
16453,MANF,0.6794,0.003793,0.5488312958333333
21224,TCP10L,0.6794,0.003793,0.5488312958333333
8924,LOC101930010,-0.6794,0.003793,0.5488312958333333
23879,DNAJC7,0.6794,0.003793,0.5488312958333333
14918,ABCC6,-0.6794,0.003793,0.5488312958333333
16950,ATOH8,-0.6794,0.003793,0.5488312958333333
19565,FKBP11,0.6794,0.003793,0.5488312958333333
23847,SLC39A14,0.6794,0.003793,0.5488312958333333
17293,ZDHHC16,0.6794,0.003793,0.5488312958333333
18060,PDRG1,0.6794,0.003793,0.5488312958333333
11259,IKZF3,0.6765,0.004008,0.5563386540697675
22992,EPHX4,0.6765,0.004008,0.5563386540697675
15356,CXCR6,0.6765,0.004008,0.5563386540697675
15619,TNFSF18,0.6765,0.004008,0.5563386540697675
34160,KDM4A,0.6765,0.004008,0.5563386540697675
18864,CLIP4,0.6765,0.004008,0.5563386540697675
10913,LOC101927979,0.6765,0.004008,0.5563386540697675
30797,CRIPT,-0.6765,0.004008,0.5563386540697675
21407,HSF4,-0.6765,0.004008,0.5563386540697675
14529,SYP-AS1,-0.6735,0.004233,0.5563386540697675
2887,lnc-TCOF1-1,0.6735,0.004233,0.5563386540697675
12337,lnc-RP11-582J16.5.1-4,0.6735,0.004233,0.5563386540697675
29618,DTHD1,0.6735,0.004233,0.5563386540697675
294,LOC101059954,0.6735,0.004233,0.5563386540697675
16584,RNMTL1,0.6735,0.004233,0.5563386540697675
19725,HCG4,0.6735,0.004233,0.5563386540697675
9552,lnc-CHURC1-FNTB-1,0.6735,0.004233,0.5563386540697675
22341,C9orf72,-0.6735,0.004233,0.5563386540697675
20006,NAGLU,0.6735,0.004233,0.5563386540697675
32535,RN7SL1,-0.6735,0.004233,0.5563386540697675
7272,XLOC_l2_009804,-0.6735,0.004233,0.5563386540697675
19706,CUX2,0.6706,0.004467,0.5563386540697675
2516,lnc-CD38-2,0.6706,0.004467,0.5563386540697675
3920,lnc-C9orf16-1,-0.6706,0.004467,0.5563386540697675
22368,MOSPD2,-0.6706,0.004467,0.5563386540697675
27184,SSR3,0.6706,0.004467,0.5563386540697675
26797,ZDHHC24,0.6706,0.004467,0.5563386540697675
20356,AGK,0.6706,0.004467,0.5563386540697675
33718,C17orf96,0.6706,0.004467,0.5563386540697675
33667,HSPA8,0.6696,0.004547,0.5563386540697675
241,LOC101929696,-0.6676,0.004712,0.5563386540697675
27413,TCF19,0.6676,0.004712,0.5563386540697675
31950,LINGO3,0.6676,0.004712,0.5563386540697675
18571,FEZ1,0.6676,0.004712,0.5563386540697675
23686,IL1RL2,-0.6676,0.004712,0.5563386540697675
24057,KLRG1,0.6676,0.004712,0.5563386540697675
16051,KCNH4,-0.6676,0.004712,0.5563386540697675
8575,lnc-AGRP-5,-0.6676,0.004712,0.5563386540697675
23448,RUNX3,0.6676,0.004712,0.5563386540697675
26212,LRRTM4,0.6676,0.004712,0.5563386540697675
6049,LOC101927820,-0.6676,0.004712,0.5563386540697675
32499,LOC728339,0.6676,0.004712,0.5563386540697675
26905,ASB13,-0.6676,0.004712,0.5563386540697675
12896,lnc-STAT3-1,-0.6676,0.004712,0.5563386540697675
18944,ADAMTS1,0.6676,0.004712,0.5563386540697675
15840,DUSP22,-0.6676,0.004712,0.5563386540697675
412,lnc-OSTC-2,-0.6676,0.004712,0.5563386540697675
34402,PIK3R3,0.6676,0.004712,0.5563386540697675
7594,XLOC_l2_013192,0.6676,0.004712,0.5563386540697675
10790,lnc-ITIH2-3,0.6647,0.004967,0.5563386540697675
30087,TMEM214,0.6647,0.004967,0.5563386540697675
27950,TMEM109,0.6647,0.004967,0.5563386540697675
25155,RAD51,0.6647,0.004967,0.5563386540697675
8068,LOC100505501,0.6647,0.004967,0.5563386540697675
32986,ZNF213,-0.6647,0.004967,0.5563386540697675
22199,SAMD3,0.6647,0.004967,0.5563386540697675
14111,lnc-IL12RB2-1,0.6647,0.004967,0.5563386540697675
16514,KIFC1,0.6647,0.004967,0.5563386540697675
16205,TUBA1B,0.6647,0.004967,0.5563386540697675
7457,CTD-2151A2.1,0.6647,0.004967,0.5563386540697675
17868,SCGB2A2,-0.6647,0.004967,0.5563386540697675
27013,PPP2R5D,0.6647,0.004967,0.5563386540697675
27568,RNF141,-0.6647,0.004967,0.5563386540697675
10220,lnc-FBXL22-1,0.6647,0.004967,0.5563386540697675
18485,THBS3,-0.6647,0.004967,0.5563386540697675
27257,FRMD6,-0.6647,0.004967,0.5563386540697675
34380,ACTG1P20,0.6637,0.005055,0.5563386540697675
24516,EYA3,0.6618,0.005234,0.5563386540697675
25119,HSPH1,0.6618,0.005234,0.5563386540697675
21212,PFN1P2,0.6618,0.005234,0.5563386540697675
27693,KCTD10,0.6618,0.005234,0.5563386540697675
19870,PACSIN1,0.6618,0.005234,0.5563386540697675
19884,MRPS17,0.6618,0.005234,0.5563386540697675
15259,P4HB,0.6618,0.005234,0.5563386540697675
18023,BIN1,0.6618,0.005234,0.5563386540697675
1820,lnc-SUCLG1-3,-0.6618,0.005234,0.5563386540697675
11994,lnc-PRICKLE4-1,-0.6588,0.005511,0.5563386540697675
22186,MAF,0.6588,0.005511,0.5563386540697675
22071,MACF1,0.6588,0.005511,0.5563386540697675
25662,SH3RF1,0.6588,0.005511,0.5563386540697675
18692,TPD52L3,0.6588,0.005511,0.5563386540697675
24022,ZW10,0.6588,0.005511,0.5563386540697675
31038,CALCRL,0.6588,0.005511,0.5563386540697675
24265,P3H2,0.6588,0.005511,0.5563386540697675
21221,PRDM1,0.6588,0.005511,0.5563386540697675
25738,MYADML2,-0.6588,0.005511,0.5563386540697675
18603,ZC2HC1A,-0.6588,0.005511,0.5563386540697675
19171,OSBPL3,0.6588,0.005511,0.5563386540697675
22609,MAPRE2,0.6588,0.005511,0.5563386540697675
26466,MRPS10,0.6588,0.005511,0.5563386540697675
22606,FNBP1L,0.6588,0.005511,0.5563386540697675
23342,HOXA3,0.6588,0.005511,0.5563386540697675
16997,ARHGEF3,0.6588,0.005511,0.5563386540697675
17186,C11orf49,0.6588,0.005511,0.5563386540697675
80,lnc-GGCT-1,-0.6588,0.005511,0.5563386540697675
22860,ELP3,0.6588,0.005511,0.5563386540697675
33349,KCNJ2-AS1,-0.6588,0.005511,0.5563386540697675
33347,TMPRSS11D,0.6588,0.005511,0.5563386540697675
13110,lnc-TLE3-6,-0.6588,0.005511,0.5563386540697675
32511,CDC42EP3,-0.6588,0.005511,0.5563386540697675
27118,SLC48A1,-0.6588,0.005511,0.5563386540697675
10943,LOC730159,-0.6588,0.005511,0.5563386540697675
830,SNORA49,-0.6588,0.005511,0.5563386540697675
31192,SPATA5,0.6588,0.005511,0.5563386540697675
16801,PNP,0.6578,0.005607,0.5611457576601672
13827,lnc-MYOC-2,0.6559,0.005801,0.5611457576601672
10983,lnc-LAMA5-1,0.6559,0.005801,0.5611457576601672
20254,RAPGEF1,0.6559,0.005801,0.5611457576601672
15781,NKG7,0.6559,0.005801,0.5611457576601672
9095,lnc-C17orf75-2,-0.6559,0.005801,0.5611457576601672
29701,TTTY4C,0.6559,0.005801,0.5611457576601672
29314,SLC4A4,0.6559,0.005801,0.5611457576601672
15880,PKDREJ,0.6559,0.005801,0.5611457576601672
16529,CD81,0.6559,0.005801,0.5611457576601672
27864,ALG3,0.6559,0.005801,0.5611457576601672
34130,HCN4,0.6559,0.005801,0.5611457576601672
6296,LOC102724800,-0.6559,0.005801,0.5611457576601672
31254,FAM131B,0.6559,0.005801,0.5611457576601672
24875,ABCB8,0.6559,0.005801,0.5611457576601672
19403,GADD45A,-0.6529,0.006102,0.5655036345177664
4171,LINC00836,-0.6529,0.006102,0.5655036345177664
31315,FKBP2,0.6529,0.006102,0.5655036345177664
15707,MTHFD1,0.6529,0.006102,0.5655036345177664
16426,RTN4R,0.6529,0.006102,0.5655036345177664
25980,ATP2A2,0.6529,0.006102,0.5655036345177664
6753,LINC00639,-0.6529,0.006102,0.5655036345177664
28365,PA2G4,0.6529,0.006102,0.5655036345177664
34466,ACTG1P4,0.6529,0.006102,0.5655036345177664
27709,MYPOP,0.6529,0.006102,0.5655036345177664
24972,POLR3D,0.6529,0.006102,0.5655036345177664
5977,LOC102724958,0.6529,0.006102,0.5655036345177664
9682,lnc-CRNKL1-1,-0.6529,0.006102,0.5655036345177664
